user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,1,SE,24,0.5764780763824637,0.381129899664768,0.5041666666666667,0.029166666666666667,0.6189710610932476,0.04019292604501608,0.0,0.0,0.30875431830769556,0.0
,BPR,consume_all,1,SI,3,0.60202866111795,0.43880085225375504,0.5666666666666667,0.0,0.6829268292682927,0.0,0.0,0.0,0.3256209561739261,0.0
,BPR,consume_all,1,SJ,1,0.9094007341083395,0.24301256166044996,0.2,0.0,0.1509433962264151,0.0,0.0,0.0,0.05484359706641601,0.0
,BPR,consume_all,1,SK,1,0.7071067811865476,0.3831358798599423,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
,BPR,consume_all,1,TH,1,0.5114027506086221,0.29800275079176114,0.2,0.0,0.20238095238095238,0.0,0.0,0.0,0.00252213708320028,0.0
,BPR,consume_all,1,TR,5,0.7984711198400876,0.4834906001982784,0.58,0.0,0.034334763948497854,0.0,0.0,0.0,0.46911871857013543,0.0
,BPR,consume_all,1,UA,12,0.5481395901721937,0.3081164767922718,0.4,0.0,0.472636815920398,0.0,0.0,0.0,0.2197167374086184,0.0
,BPR,consume_all,1,UK,57,0.6223667056699191,0.2528578359212796,0.5263157894736842,0.18771929824561404,0.5128543177323666,0.2643375082399473,0.0,0.0,0.4748081810775965,0.0
,BPR,consume_all,1,US,81,0.5778405840581968,0.3268197659852896,0.5037037037037037,0.5037037037037037,0.6744730679156908,0.6744730679156908,0.0,0.0,0.27841669557494236,0.0
,BPR,consume_all,1,VN,2,0.40508807698547805,0.027726388498650945,0.65,0.0,0.8441558441558441,0.0,0.0,0.0,0.20717157919283355,0.0
,BPR,consume_all,1,ZA,1,0.4973693898390603,0.4679692924355864,0.6,0.0,0.3125,0.0,0.0,0.0,0.24693258297761264,0.0
